yr,age_grp,gender,no_of_mbrs
2017,Unspecified,Unspecified,3900
2018,Up to 20,Male,59000
2018,Up to 20,Female,55000
2018,Up to 20,Unspecified,0
2018,>20 - 25,Male,126000
2018,>20 - 25,Female,117000
2018,>20 - 25,Unspecified,0
2018,>25 - 30,Male,143000
2018,>25 - 30,Female,146000
2018,>25 - 30,Unspecified,0
2018,>30 - 35,Male,143000
2018,>30 - 35,Female,155000
2018,>30 - 35,Unspecified,0
2018,>35 - 40,Male,153000
2018,>35 - 40,Female,167000
2018,>35 - 40,Unspecified,0*
2018,>40 - 45,Male,160000
2018,>40 - 45,Female,167000
2018,>40 - 45,Unspecified,0*
2018,>45 - 50,Male,172000
2018,>45 - 50,Female,175000
2018,>45 - 50,Unspecified,0*
2018,>50 - 55,Male,193000
2018,>50 - 55,Female,178000
2018,>50 - 55,Unspecified,100
2018,>55 - 60,Male,199000
2018,>55 - 60,Female,176000
2018,>55 - 60,Unspecified,100
2018,Above 60,Male,488000
2018,Above 60,Female,490000
2018,Above 60,Unspecified,400
2018,Unspecified,Male,128000
2018,Unspecified,Female,112000
2018,Unspecified,Unspecified,3900
2019,Up to 20,Male,190000
2019,Up to 20,Female,182000
2019,>20 - 25,Male,123000
2019,>20 - 25,Female,114000
2019,>25 - 30,Male,144000
2019,>25 - 30,Female,147000
2019,>30 - 35,Male,147000
2019,>30 - 35,Female,159000
2019,>35 - 40,Male,152000
2019,>35 - 40,Female,166000
2019,>40 - 45,Male,158000
2019,>40 - 45,Female,167000
2019,>45 - 50,Male,172000
2019,>45 - 50,Female,176000
2019,>50 - 55,Male,181000
2019,>50 - 55,Female,174000
2019,>55 - 60,Male,201000
2019,>55 - 60,Female,178000
2019,>60 - 65,Male,173000
2019,>60 - 65,Female,160000
2019,>65 - 70,Male,135000
2019,>65 - 70,Female,128000
2019,>70 - 75,Male,90000
2019,>70 - 75,Female,90000
2019,>75 - 80,Male,52000
2019,>75 - 80,Female,56000
2019,Above 80,Male,64000
2019,Above 80,Female,81000
2019,Unspecified,Male,14000
2019,Unspecified,Female,3000
2020,Up to 20,Male,203000
2020,Up to 20,Female,194000
2020,>20 - 25,Male,122000
2020,>20 - 25,Female,112000
2020,>25 - 30,Male,143000
2020,>25 - 30,Female,144000
2020,>30 - 35,Male,151000
2020,>30 - 35,Female,163000
2020,>35 - 40,Male,151000
2020,>35 - 40,Female,167000
2020,>40 - 45,Male,158000
2020,>40 - 45,Female,169000
2020,>45 - 50,Male,170000
2020,>45 - 50,Female,174000
2020,>50 - 55,Male,175000
2020,>50 - 55,Female,173000
2020,>55 - 60,Male,201000
2020,>55 - 60,Female,178000
2020,>60 - 65,Male,179000
2020,>60 - 65,Female,165000
2020,>65 - 70,Male,142000
2020,>65 - 70,Female,134000
2020,>70 - 75,Male,101000
2020,>70 - 75,Female,102000
2020,>75 - 80,Male,50000
2020,>75 - 80,Female,54000
2020,Above 80,Male,69000
2020,Above 80,Female,87000
2020,Unspecified,Male,14000
2020,Unspecified,Female,3000
2021,Up to 20,Male,220000
2021,Up to 20,Female,212000
2021,>20 - 25,Male,119000
2021,>20 - 25,Female,109000
2021,>25 - 30,Male,143000
2021,>25 - 30,Female,144000
2021,>30 - 35,Male,157000
2021,>30 - 35,Female,170000
2021,>35 - 40,Male,148000
2021,>35 - 40,Female,164000
2021,>40 - 45,Male,157000
2021,>40 - 45,Female,170000
2021,>45 - 50,Male,169000
2021,>45 - 50,Female,174000
2021,>50 - 55,Male,170000
2021,>50 - 55,Female,172000
2021,>55 - 60,Male,199000
2021,>55 - 60,Female,179000
2021,>60 - 65,Male,183000
2021,>60 - 65,Female,167000
2021,>65 - 70,Male,149000
2021,>65 - 70,Female,141000
2021,>70 - 75,Male,108000
2021,>70 - 75,Female,107000
2021,>75 - 80,Male,55000
2021,>75 - 80,Female,58000
2021,Above 80,Male,71000
2021,Above 80,Female,91000
2021,Unspecified,Male,14000
2021,Unspecified,Female,3000
2022,Up to 20,Male,241000
2022,Up to 20,Female,233000
2022,>20 - 25,Male,116000
2022,>20 - 25,Female,107000
2022,>25 - 30,Male,142000
2022,>25 - 30,Female,142000
2022,>30 - 35,Male,161000
2022,>30 - 35,Female,174000
2022,>35 - 40,Male,147000
2022,>35 - 40,Female,164000
2022,>40 - 45,Male,159000
2022,>40 - 45,Female,174000
2022,>45 - 50,Male,165000
2022,>45 - 50,Female,172000
2022,>50 - 55,Male,169000
2022,>50 - 55,Female,173000
2022,>55 - 60,Male,193000
2022,>55 - 60,Female,177000
2022,>60 - 65,Male,187000
2022,>60 - 65,Female,169000
2022,>65 - 70,Male,155000
2022,>65 - 70,Female,146000
2022,>70 - 75,Male,113000
2022,>70 - 75,Female,112000
2022,>75 - 80,Male,63000
2022,>75 - 80,Female,67000
2022,Above 80,Male,70000
2022,Above 80,Female,91000
2022,Unspecified,Male,14000
2022,Unspecified,Female,3000
